"CHIVOR",26,18,18,18,26,26,101,101,101,101,101,101,101,101,101,101,101,72,210,210,210,72,72,72
"LATASAJERA",0,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIEL1",117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,18,0,18,117,117,117
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,121,114,0,0,0
"PORCE2",29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,29,58,58,58,29,29,29
"PORCE3",55,40,40,40,55,55,55,55,55,55,55,55,55,55,55,55,55,55,0,0,0,55,55,55
"SANCARLOS",23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOGAMOSO",23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,400,389,400,273,273,273
