1,7092,7313,7360,7372,7424,7489,7148
2,6876,7080,7119,7119,7173,7206,6863
3,6714,6910,6955,6960,7005,7026,6659
4,6666,6852,6881,6891,6952,6927,6559
5,6884,7076,7111,7129,7168,6993,6521
6,7298,7465,7490,7495,7551,7105,6462
7,7526,7709,7732,7717,7770,7199,6277
8,8010,8188,8211,8164,8206,7732,6577
9,8579,8716,8724,8676,8765,8312,6991
10,8933,9024,9024,8993,9090,8675,7336
11,9292,9382,9363,9352,9442,9018,7614
12,9551,9611,9599,9596,9671,9211,7835
13,9395,9432,9426,9440,9511,9099,7923
14,9473,9517,9495,9497,9564,8933,7885
15,9632,9705,9681,9686,9742,8816,7777
16,9592,9675,9648,9687,9707,8710,7721
17,9427,9493,9480,9532,9530,8561,7651
18,9188,9244,9213,9278,9255,8513,7634
19,10051,10119,10054,10110,10091,9536,8865
20,10213,10324,10241,10269,10249,9720,9089
21,10108,10173,10142,10154,10133,9586,9079
22,9276,9355,9330,9354,9343,8820,8484
23,8521,8568,8580,8629,8657,8210,7945
24,7794,7859,7864,7922,8010,7624,7400
