"ALBAN",127,127,127,127,127,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,127,127,127
"CHIVOR",0,0,0,0,0,0,0,0,0,120,120,120,120,120,120,120,120,120,210,210,210,0,0,0
"ELQUIMBO",84,84,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAGUAS",23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIEL1",39,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,167,190,0,0,0
"SOGAMOSO",0,0,0,0,0,0,84,146,146,153,153,153,153,153,153,153,153,153,0,0,0,146,146,146
"Total",273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,400,377,400,273,273,273
