1,6598,6613,6301,6647,6679,6780,6673
2,6271,6298,5977,6483,6525,6497,6390
3,6085,6008,5853,6330,6365,6315,6165
4,5983,5806,5789,6271,6307,6243,6048
5,5993,5662,5898,6410,6452,6291,6010
6,6109,5568,6134,6740,6783,6404,6014
7,6021,5248,6261,6938,6988,6400,5805
8,6419,5377,6771,7487,7542,6845,6105
9,6954,5633,7354,8025,8077,7391,6486
10,7338,5951,7772,8356,8396,7807,6840
11,7618,6228,8134,8671,8697,8090,7084
12,7792,6448,8381,8913,8923,8274,7269
13,7705,6546,8279,8739,8745,8224,7359
14,7672,6559,8304,8735,8740,8081,7304
15,7639,6523,8412,8878,8871,7952,7191
16,7542,6450,8362,8860,8835,7855,7083
17,7417,6359,8230,8712,8669,7703,6972
18,7486,6475,8163,8618,8587,7765,7100
19,8851,7932,9454,9596,9596,9050,8473
20,8948,8100,9559,9624,9591,9140,8524
21,8726,8010,9410,9415,9413,8996,8462
22,7912,7265,8519,8585,8572,8197,7869
23,7483,6806,7791,7931,7977,7622,7372
24,7062,6309,7155,7262,7331,7074,6819
