1,7129,7358,7445,7456,7467,7546,7228
2,6888,7121,7187,7188,7163,7244,6934
3,6726,6951,7026,7026,6994,7057,6721
4,6688,6899,6975,6972,6938,6971,6636
5,6894,7108,7193,7198,7161,7035,6578
6,7425,7595,7694,7665,7639,7139,6514
7,7527,7726,7791,7768,7772,7229,6339
8,7991,8173,8236,8222,8216,7782,6636
9,8537,8694,8708,8730,8755,8361,7028
10,8902,9021,9054,9067,9082,8735,7381
11,9283,9394,9409,9440,9450,9077,7642
12,9546,9644,9660,9699,9690,9254,7863
13,9391,9472,9490,9534,9540,9152,7951
14,9480,9538,9570,9616,9587,9000,7946
15,9653,9733,9747,9786,9768,8855,7836
16,9632,9704,9728,9756,9727,8757,7776
17,9471,9541,9562,9607,9568,8590,7706
18,9212,9312,9316,9369,9281,8535,7697
19,10093,10165,10156,10202,10144,9550,8965
20,10294,10341,10351,10354,10302,9729,9157
21,10155,10239,10219,10233,10194,9585,9137
22,9348,9437,9458,9431,9392,8828,8547
23,8571,8634,8677,8678,8704,8238,7997
24,7859,7955,8006,8000,8080,7729,7460
