MC-SIN,1,6601.901749933,6929.6258417708,7177.3034481005,7123.0134615375,7120.5590617695,7122.3337050923,6825.912604538
MC-SIN,2,6348.4212866391,6675.7561536513,6921.9037847394,6881.9831647258,6859.4643857752,6867.3618303349,6544.8281435263
MC-SIN,3,6187.7368693214,6535.4717999365,6759.8214954969,6726.9745090343,6720.6684487661,6696.5137589456,6355.2337682699
MC-SIN,4,6100.3960453432,6478.1247272919,6704.804963402,6674.2854108393,6634.3070758027,6652.6037412085,6242.8500509922
MC-SIN,5,6113.4918156809,6627.9338585321,6804.041352912,6781.2387092573,6743.871076241,6713.8485862731,6197.6268781209
MC-SIN,6,6113.4759836277,6817.979813106,7000.4191840138,6963.4404530822,6924.031348336,6767.8823515965,6129.0254155366
MC-SIN,7,6077.7370484458,7127.6354745728,7280.1670830483,7258.9254832585,7247.965176597,6951.3792254275,6026.4575368201
MC-SIN,8,6461.9042835046,7761.2142326622,7944.6929764262,7911.2372036988,7859.4203712686,7480.8205742113,6369.5117253426
MC-SIN,9,6898.3395862288,8280.4235230331,8435.9609392313,8424.481830544,8340.057424412,8020.582574252,6758.7782891476
MC-SIN,10,7285.0955284233,8634.2800926014,8783.0256441247,8749.5764240329,8660.4658095395,8374.2413832271,7127.7266891763
MC-SIN,11,7606.7860247471,8971.9722088366,9098.9213939472,9081.8650800473,8986.6901684634,8640.0251057289,7450.9628287664
MC-SIN,12,7871.2387231785,9250.1661193805,9340.3241300342,9344.4825046072,9230.5701071975,8848.0537448559,7676.5254201727
MC-SIN,13,7978.9174194145,9221.4803024949,9325.0650914065,9298.8855909966,9195.0338735527,8780.9475470226,7788.9791658656
MC-SIN,14,7894.581043938,9210.3772850425,9302.4469576356,9257.3220859566,9172.1284466062,8630.7982583805,7768.9636384268
MC-SIN,15,7766.0459072075,9239.267817113,9337.1385949401,9301.4175718263,9209.3394787622,8477.8255630332,7633.0030523286
MC-SIN,16,7643.7946064318,9196.7135132153,9293.479798157,9269.8199254899,9199.8426343427,8386.6937924476,7545.0139989923
MC-SIN,17,7547.8200840309,9040.1705258861,9108.9607781467,9101.3370482442,9027.6695517472,8217.58141691,7451.4197387326
MC-SIN,18,7737.599726946,9032.5399025267,9133.611108775,9144.4292593836,9045.4271021731,8364.0980367835,7715.1802444822
MC-SIN,19,8886.6325027419,9995.9584542291,10099.189611129,10088.140077472,9952.0133302353,9449.7749435191,8924.7353884507
MC-SIN,20,9042.5485361302,10024.2042775596,10087.3222283079,10061.4799891169,9964.1649432966,9414.0785765793,9020.6697147349
MC-SIN,21,8907.5283754226,9780.8744917065,9852.7192554806,9817.1473409717,9708.4785789702,9157.9392584695,8876.135770257
MC-SIN,22,8192.3488996799,8889.8348907806,8914.4284305354,8888.4331578083,8806.5624014913,8277.2965233752,8105.4254817584
MC-SIN,23,7679.1387061375,8217.8358180685,8255.8334930192,8246.7352657885,8222.314033458,7734.1497006648,7636.2275374931
MC-SIN,24,7194.6593543197,7594.564307549,7646.972010119,7611.5708630553,7631.9165270967,7228.0420890029,7151.999370536
