MC-SIN,1,6880.0402297052,7115.5978295101,7213.3680168106,7175.2442260658,7304.3673224993,7318.8652420074,6976.2264584694
MC-SIN,2,6654.4998627738,6844.7551370883,6935.8985778381,6917.7695519485,7030.1073346763,7035.6295542592,6708.7423152412
MC-SIN,3,6494.9151908773,6681.9186990726,6740.8157723474,6752.5959680458,6861.6481908212,6849.0545751524,6513.0535434554
MC-SIN,4,6429.1120157749,6601.2028713533,6671.1153454102,6687.5162183181,6754.8635629224,6739.1757033539,6377.0396059459
MC-SIN,5,6542.9625443179,6716.5244357378,6768.66933217,6815.9858760218,6867.062355647,6763.6012034584,6300.3962828291
MC-SIN,6,6736.0846219578,6869.8546256604,6925.2196909469,6967.9406626888,6997.9867964817,6801.662014234,6188.0274639675
MC-SIN,7,7071.3044184073,7153.1341632281,7188.2935467323,7258.3465425594,7300.8316265209,6921.931502338,6071.1256804404
MC-SIN,8,7734.2434861402,7800.2036956531,7822.2983518478,7920.5412605626,7972.5892980625,7449.5199313307,6402.8073726327
MC-SIN,9,8290.7522883888,8318.8005145696,8338.9452484062,8454.0002943508,8525.683358433,7983.0278595261,6787.8678288417
MC-SIN,10,8664.2958173087,8657.0596410354,8689.5393678408,8802.1858637122,8867.243589152,8367.5773803831,7118.8652380762
MC-SIN,11,9026.4762201152,9008.4046324669,9011.4997841337,9146.0813986745,9189.8787045615,8676.8849681685,7412.4592351222
MC-SIN,12,9331.1615267603,9291.3410721851,9282.3359961652,9436.5691255695,9457.2761219606,8896.8794949329,7654.5223289743
MC-SIN,13,9312.4593875395,9288.2846254138,9280.5234613968,9406.6056542483,9421.6147329132,8861.9984899461,7790.0494049115
MC-SIN,14,9307.7952188236,9272.4061979723,9274.4156036842,9372.9760215885,9409.0450320405,8736.5070546275,7751.2430083187
MC-SIN,15,9361.9829874313,9321.7694851268,9345.1375308249,9419.907920806,9453.1963454681,8595.9407704137,7631.3146783342
MC-SIN,16,9297.3967940522,9267.2656427722,9292.9249274423,9380.6497915099,9394.3996394487,8470.1032849441,7516.2543672082
MC-SIN,17,9055.7104353629,9056.1894019871,9064.5562235217,9148.8335503978,9163.6573688455,8302.6850573277,7386.9252189348
MC-SIN,18,8981.4369520132,8987.8272488095,9007.0859706314,9046.7636790733,9063.6190763735,8366.3148617506,7515.4968860494
MC-SIN,19,10144.5229584656,10125.8210320093,10124.7429043339,10135.923765072,10118.8889044981,9516.1878033095,8735.6486006135
MC-SIN,20,10282.9922856723,10252.4807906905,10218.6849362528,10218.2226725677,10179.9887748306,9568.3170673755,8903.1486674305
MC-SIN,21,10073.5402420358,10048.1756777338,9994.7246746505,10006.9569100573,9985.4990217269,9374.3150180545,8793.6232765533
MC-SIN,22,8996.7294132074,8983.8492481366,8974.1015738191,9038.0962653003,9075.6597280346,8468.1279965024,8133.802401546
MC-SIN,23,8359.9534683493,8342.2284521172,8322.527863136,8413.6870573023,8455.3790738592,7947.982922364,7665.7485803024
MC-SIN,24,7748.6847290795,7710.4129048222,7704.144439996,7770.1922309941,7836.5749442284,7449.0515416442,7194.143021868
