Tech, Costo baterías [USD/MWh], Costo electrónica de potencia [USD/MW], Costos de equipos AC [USD/MW], Costo de construcción y puesta en servicio [USD/MWh], Costo del predio [USD], Costos de licenciamiento [USD], Tarifa de conexión [USD/MW]
Li-Ion, 209000, 70000, 100000, 101000, 250000, 50000, 30000
Nuevo, 209000, 70000, 100000, 101000, 250000, 50000, 30000
