MC-SIN,1,7380.0468292179,7551.150855201,7702.925171633,7746.4204985866,7773.5651204118,7803.5962984971,7472.0498743448
MC-SIN,2,7120.281400823,7271.2971914189,7409.9590409044,7475.8079811581,7484.0242250355,7522.0441956166,7173.2107742607
MC-SIN,3,6935.139335223,7109.1485167006,7252.7757291981,7286.6996530738,7298.8465546418,7320.1876330727,6948.9975013471
MC-SIN,4,6871.571789853,7030.6499698279,7153.5251674556,7216.8546843443,7211.6207566099,7222.9282959148,6819.3886484466
MC-SIN,5,6987.6042931232,7135.7777458923,7251.7969502144,7327.0107142373,7319.8304287435,7261.0519935408,6752.3739946617
MC-SIN,6,7197.7420650009,7342.8327118747,7459.9552924161,7525.8737959456,7536.5527869269,7328.5479726266,6662.99694929
MC-SIN,7,7462.3212593845,7619.6895615022,7757.4116854,7823.5108894455,7790.2603506625,7451.1973485364,6556.7609570928
MC-SIN,8,8093.0157535897,8213.8860284851,8375.9904708523,8423.1606700969,8402.284443691,7983.2828541525,6866.1736961783
MC-SIN,9,8636.1471268897,8737.856992714,8890.6596635126,8938.2154743853,8913.0854428837,8529.0487549986,7271.4836985529
MC-SIN,10,9009.9966941928,9090.4685256072,9221.9813954842,9252.9756880694,9234.182842737,8895.5653251626,7609.1736045391
MC-SIN,11,9344.1230900808,9408.7167288629,9557.923106617,9588.0045784674,9567.8733149796,9184.4253470071,7894.9129301728
MC-SIN,12,9642.5120482792,9702.9318631386,9835.6354040669,9857.1052991054,9851.6951528643,9393.5735432749,8141.8466022716
MC-SIN,13,9647.2694813654,9663.4933345852,9816.3267077681,9845.1154876551,9804.6567120623,9345.6398663069,8262.7975449907
MC-SIN,14,9647.9672376937,9662.1773176553,9806.5501969879,9840.4106713466,9801.3515926076,9199.6400068536,8228.8548269886
MC-SIN,15,9701.745598601,9755.0140643899,9901.2716174363,9924.2255172892,9922.7206450464,9095.2120332606,8136.5595695618
MC-SIN,16,9644.9801994335,9699.1840680094,9848.8667005018,9895.9971198952,9839.2995402944,9001.2505605729,8032.668020417
MC-SIN,17,9441.4713776443,9510.5928974,9646.0836323589,9694.2668207301,9665.3140303219,8848.1786216353,7920.1517578215
MC-SIN,18,9154.6384216215,9212.7076907361,9375.0292259044,9377.7538425836,9347.6390917726,8750.007468167,7888.0817425465
MC-SIN,19,10071.0493907606,10064.6685459396,10271.6632300437,10228.1555756251,10208.6993641758,9761.7316619502,8959.0860196271
MC-SIN,20,10478.1211870515,10430.3209888461,10587.7771705068,10560.8389275763,10511.4265149107,10058.2186707854,9384.0677923448
MC-SIN,21,10337.1393399282,10257.6746995163,10429.6821743233,10420.3307466708,10361.1022333104,9908.0492418153,9343.1212534556
MC-SIN,22,9393.8997029,9349.4986177642,9486.6689151664,9518.4249069717,9461.111675166,9012.3785271678,8633.598364031
MC-SIN,23,8778.3682230511,8723.1643355269,8855.8353112106,8905.3277879546,8883.1333369064,8497.1017103173,8212.4706845549
MC-SIN,24,8173.3707461215,8133.7754965933,8245.4590582215,8300.8373748467,8312.3261514021,8006.2409792265,7717.637410631
