MC-SIN,1,7174.7696776662,7352.5355718488,7484.8328358654,7524.6151211214,7577.2331585077,7755.9374622384,7430.5672246386
MC-SIN,2,6941.7663854026,7085.9639184587,7227.0419664229,7266.7868823302,7308.5105735257,7450.5714716755,7141.8936927399
MC-SIN,3,6773.7994627242,6958.5967542856,7079.2919374779,7102.5385084892,7151.4699865474,7244.8411255467,6930.5351377689
MC-SIN,4,6670.514358372,6894.0233774636,7010.9151451519,7051.7277345422,7080.1055555998,7151.5337655289,6796.1080747486
MC-SIN,5,6690.9604227524,7027.9154443379,7152.4770394773,7201.6449355493,7224.4830736798,7176.5676469977,6726.551935131
MC-SIN,6,6738.9468269569,7276.4546335188,7453.5706932215,7493.728433096,7495.6011973171,7236.7617058549,6654.0971762063
MC-SIN,7,6763.3033386032,7558.5990066075,7725.354828101,7782.2842331819,7757.8434026656,7328.3779966294,6496.6881494368
MC-SIN,8,7158.1517038846,8161.6918912451,8308.3151709707,8342.016716841,8345.9657719574,7879.6059377454,6777.6669376506
MC-SIN,9,7592.1408992801,8679.3270850865,8804.035074832,8855.2605638922,8847.1537734368,8399.1677857989,7171.2915859218
MC-SIN,10,7945.3016563903,9021.2593510335,9122.3470203926,9172.7536212022,9167.4619517135,8763.988238925,7531.8407163178
MC-SIN,11,8292.7676923016,9349.4061196024,9449.0085030975,9502.5329841796,9479.0850457635,9070.1229224905,7797.2249177442
MC-SIN,12,8575.9225311458,9635.0978391061,9711.6309423293,9796.6761024538,9754.9854640139,9290.6702230801,8048.7251317222
MC-SIN,13,8659.8908585969,9624.6459053567,9678.3362578219,9752.4389810925,9711.0344589183,9273.6049778932,8163.3681536228
MC-SIN,14,8624.7135933631,9589.2859666428,9667.2474158686,9750.1959666678,9706.6327108844,9119.7868720285,8127.7097229203
MC-SIN,15,8540.8525846972,9683.6297546972,9748.1538021788,9855.1519041583,9798.6880068482,8975.3022071829,8022.7175689328
MC-SIN,16,8483.57996464,9641.1817532852,9710.2547226029,9813.7517185325,9743.8110238617,8861.2974687815,7925.4940042221
MC-SIN,17,8356.8286341252,9443.7435610203,9527.2555481284,9588.4067358126,9533.8571470557,8699.0656197517,7836.2827874433
MC-SIN,18,8253.9515563118,9174.5346465727,9239.5038676006,9292.5727753909,9238.448106864,8615.4857865825,7840.6490165818
MC-SIN,19,9272.8231437541,10005.3684460098,10163.1562886025,10196.3329235249,10115.4382587418,9662.4505543313,8975.5760350157
MC-SIN,20,9627.3691377052,10346.5369250965,10506.7229620692,10489.94319076,10423.575842078,9988.1834080519,9357.616658495
MC-SIN,21,9526.9387384416,10154.5935219152,10376.693521803,10343.4088986459,10274.5628281819,9808.2824424592,9290.0165507691
MC-SIN,22,8760.7031809132,9347.5706156035,9458.6465850654,9443.6249081978,9382.330569063,8946.7451102434,8569.2069243335
MC-SIN,23,8228.4475771401,8741.2686919078,8830.7000788622,8849.0622879467,8838.0321822141,8435.4610663304,8169.3082627004
MC-SIN,24,7701.5411369002,8094.4272465729,8151.0788490987,8198.0164126923,8238.5295168159,7938.4017614484,7657.283807523
